[   95.833711] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 83.220.255.255, daddr: 128.1.173.68
[  114.532595] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 0.12.0.0, daddr: 0.1.2.0
[  118.374298] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 0.0.0.0, daddr: 112.0.0.0
[  119.285134] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 8, saddr: 34.3.0.112, daddr: 35.3.0.112
[  119.291117] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 1, saddr: 45.11.96.80:4224, daddr: 37.11.158.32:3329 
[  119.302776] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 71.6.0.0, daddr: 0.182.0.0
[  119.303318] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 214.147.40.0, daddr: 0.0.145.27
[  119.352164] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 1.0.0.0, daddr: 0.0.0.0
[  119.710364] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 2.0.0.28, daddr: 151.28.0.0
[  119.927299] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 15, saddr: 14.4.0.96, daddr: 242.1.0.16
[  119.982896] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 14, saddr: 85.5.70.68, daddr: 0.128.39.68
[  131.619677] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 15, saddr: 14.4.0.96, daddr: 242.1.0.16
[  131.622889] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 13, saddr: 141.4.2.32, daddr: 38.3.0.96
[  132.138867] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 1, saddr: 0.0.0.0, daddr: 1.0.0.0
[  170.736280] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 0, saddr: 2.0.0.28, daddr: 151.28.0.0
[  170.837364] nmj_buff ICMP - name: wlp3s0, protocol: 1, ip_version: 1, saddr: 129.1.0.0, daddr: 51.1.0.0
[  171.738491] nmj_buff TCP - name: wlp3s0, protocol: 6, ip_version: 7, saddr: 6.2.0.32:4224, daddr: 146.1.0.32:2305 
